Order ID,Customer ID,Order Date,Product,Category,Sub-Category,Region,State,Sales,Profit
CA-2026-231932,CUST-25795,2026-01-31,Watercolor Brushes,Office Supplies,Art,Central,Wisconsin,12.63,2.53
CA-2023-164820,CUST-77221,2023-05-11,Picture Frame Set,Furniture,Furnishings,East,Pennsylvania,55.17,12.79
CA-2023-284779,CUST-93104,2023-10-04,Standing Desk Birch,Furniture,Tables,West,California,91.06,-12.05
CA-2024-165725,CUST-69150,2024-11-30,Industrial Metal Bookshelf,Furniture,Bookcases,South,Virginia,185.51,19.77
CA-2025-431236,CUST-21394,2025-04-11,Manila Envelopes Pack,Office Supplies,Envelopes,South,Georgia,138.82,5.81
CA-2023-672843,CUST-33483,2023-04-02,3D Printer Ender 3,Technology,Machines,South,Florida,124.78,20.9
CA-2025-308261,CUST-76557,2025-10-22,Coffee Table Pine,Furniture,Tables,East,Maryland,878.2,78.47
CA-2025-587879,CUST-21534,2025-03-26,Billy Bookcase White,Furniture,Bookcases,East,Maryland,128.03,26.72
CA-2023-633556,CUST-92798,2023-12-04,IKEA Markus,Furniture,Chairs,West,Arizona,85.74,-8.73
CA-2024-233767,CUST-72592,2024-06-04,Acrylic Paint Set,Office Supplies,Art,Central,Michigan,75.27,4.34
CA-2024-234633,CUST-48660,2024-01-14,3-Ring Binder 2-inch,Office Supplies,Binders,West,California,48.93,3.12
CA-2024-747972,CUST-87373,2024-02-11,Coffee Maker Espresso,Office Supplies,Appliances,East,Ohio,42.07,4.9
CA-2024-572525,CUST-18110,2024-09-04,Premium Copy Paper A4,Office Supplies,Paper,East,Ohio,38.29,3.0
CA-2025-210687,CUST-64268,2025-05-13,Autonomous ErgoChair,Furniture,Chairs,South,Tennessee,199.05,7.77
CA-2024-424767,CUST-43827,2024-06-24,Acrylic Paint Set,Office Supplies,Art,East,Massachusetts,124.47,29.91
CA-2024-125939,CUST-79163,2024-10-07,Dining Table Oak,Furniture,Tables,West,Washington,37.55,9.71
CA-2026-785440,CUST-33776,2026-06-08,HP LaserJet Pro Copier,Technology,Copiers,Central,Indiana,178.9,11.33
CA-2024-328576,CUST-13748,2024-10-10,Presentation Folder Pack,Office Supplies,Binders,South,Florida,28.28,1.66
CA-2024-314283,CUST-72003,2024-03-17,Industrial Metal Bookshelf,Furniture,Bookcases,South,Florida,45.07,1.73
CA-2025-369536,CUST-48623,2025-05-04,HP LaserJet Pro Copier,Technology,Copiers,East,Maryland,273.91,77.27
CA-2023-283734,CUST-80467,2023-09-04,Crayola Colored Pencils,Office Supplies,Art,South,Tennessee,50.02,12.79
CA-2025-518400,CUST-32671,2025-01-21,3D Printer Ender 3,Technology,Machines,East,Maryland,786.78,393.39
CA-2025-212547,CUST-66250,2025-02-02,Presentation Folder Pack,Office Supplies,Binders,South,North Carolina,24.29,5.51
CA-2025-757162,CUST-47504,2025-05-21,Samsung Galaxy S24,Technology,Phones,South,Georgia,124.33,-27.92
CA-2023-570587,CUST-26371,2023-05-24,Logitech MX Master 3S,Technology,Accessories,West,Arizona,331.84,64.23
CA-2026-639439,CUST-52642,2026-06-10,Coffee Maker Espresso,Office Supplies,Appliances,East,New York,51.23,9.35
